編號	名稱	分類	子分類	會長頭銜	會長姓名	成立日期	電話	核准立案字號	會址
1	臺灣植物保護工業同業公會	職業團體	(台灣區工業團體)	理事長	翁惠清  先生	51/02/01	02-25034666		台北市建國北路二段96號7樓
2	中華民國人壽保險商業同業公會	職業團體	(全國性商業同業公會)	理事長	許舒博  先生	87/09/10	02-25612144		台北市松江路152號5樓
3	中華民國土木包工商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	劉東生  先生	88/07/12			桃園縣龍潭鄉福龍路2段285巷16號
4	中華民國土木技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	施義芳  先生	81/01/20	02-2748-1699		10565台北市松山區東興路26號9樓
5	中華民國大地工程技師公會	職業團體	(全國性自由職業團體)	理事長	周功台  先生		02-27357693		台北市信義區吳興街118巷26弄17號5樓
6	中華民國小客車租賃商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	黃瑞榮  先生	88/11/24	07-3341015		高雄市前鎮區中山二路166號
7	中華民國工程技術顧問商業同業公會	職業團體	(全國性商業同業公會)	理事長	李建中  先生	92/12/05	(02)2834-2555		台北市中山北路6段89號17樓
8	中華民國工礦安全衛生技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	黃獻平  先生	82/07/25	（02）23312487		台北市中正區忠孝西路1段45號403室
9	中華民國不動產代銷經紀商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	黃烱輝  先生	97/12/26	02-27133568	0980000738	臺北市信義區忠孝東路5段508號26樓
10	中華民國不動產仲介經紀商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	李同榮  先生	83/04/25	02-23582535		臺北市中正區北平東路20號7樓之1
11	中華民國不動產估價師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	陳   諶  先生	94/03/12	02-25592801		台北市長安西路82號6樓
12	中華民國中華民國不動產開發商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	吳寶田  先生	81/03/31	02-27405665		台北市安和路一段29號8樓
13	中華民國中醫師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	何永成  先生	34/10/25	02-23029339		台北縣板橋市民生路1段33號11樓之2
14	中華民國中藥商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	朱溥霖  先生	75/11/14	02-25587355		台北市大同區塔城街37號8樓之一
15	中華民國五金商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	黃清官  先生	81/06/17	03-4612086		桃園縣中壢市環北路558號
16	中華民國公共汽車客運商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	王應傑  先生	86/12/18	（02）2708-0041		台北市復興南路1段243號4樓之1
17	中華民國公益彩券經銷商商業同業公會	職業團體	(全國性商業同業公會)	理事長	吳旻陵  先生	92/02/27	07-2860413		高雄市前金區七賢2路168號
18	中華民國太陽光電發電系統商業同業公會	職業團體	(全國性商業同業公會)	理事長	林山城  先生	99/07/09	04-2534.3029	0990703734	新北市新店區北新路1段89號14樓之3
19	中華民國太陽熱能商業同業公會	職業團體	(全國性商業同業公會)	理事長	黃正忠  先生	98/06/16	04-24613314		
20	中華民國木材商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	黃文龍  先生	99/03/26	02-22675560	0990007263	
21	中華民國水土保持技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	黃志彰  先生	89/06/17	（02）2253-8151		新北市板橋區雙十路二段143號4樓
22	中華民國水利技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	陳明信  先生	88/01/30	02-27912725		台北縣汐止市新台五路一段81號10樓之4
23	中華民國水族類商業同業公會	職業團體	(全國性商業同業公會)	理事長	李峰成  先生	100/10/01		1000022316	
24	中華民國牙醫師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	劉俊言  先生	71/01/10	02-25000133		104台北市中山區復興北路420號10樓
25	中華民國出版商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	楊克齊  先生	102/07/26	02-23706769	1025932526	臺北市中正區懷寧街112號4樓
26	中華民國加油站商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)		  	99/02/04	07-3223216		高雄市小港區高鳳路272號
27	中華民國布商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	蔡國司  先生	78/05/17			
28	中華民國民用航空人員專業技職公會	職業團體	(全國性自由職業團體)	理事長	甘國秀  先生	95/06/11	03-3576562	內授中社0950009516	桃園縣蘆竹鄉奉化路27-9號2樓
29	中華民國民航機師公會	職業團體	(全國性自由職業團體)	理事長	謝忠棡  先生	95/09/25	02-25456100-1	內授中社0950014423	台北市康寧路三段165巷25弄6號2樓
30	中華民國石油商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	邱永堂  先生	90/01/31	02-87126336		台北市敦化北路207號407室
