編號	名稱	分類	子分類	會長頭銜	會長姓名	成立日期	電話	核准立案字號	會址
1	123台灣社區培力協會	社會團體	(社會服務及慈善團體)	理事長	蔡培慧  女士	96/02/09	02-29251580	0960063133	新北市中和區興南路2段3巷17號
2	2025台灣願景社	社會團體	(其他公益團體)	理事長	王保善(社長)  先生	100/08/26	02-26600058	1000224081	台北市北投區行義路130巷22號
3	KDP國際教育榮譽學會臺灣分會	社會團體	(國際團體)	理事長	戴遐齡  女士	99/09/25	02-2311-3040-8301	0990250937	臺北市中正區愛國西路1號
4	TWN香氣與身體文化研究協會	社會團體	(學術文化團體)	理事長	周上造  先生	96/07/29	07-7775255	0960125959	高雄縣鳳山市文平街49號
5	三一聯誼社台灣省分會	社會團體	(社會服務及慈善團體)	理事長	宋鐵生  	39/02/16	02-28756435		台北市士林區中山北路七段114巷36弄18號1樓
6	三民主義統一中國大同盟	社會團體	(其他公益團體)	理事長	高銘輝  先生	71/10/22	02-2781-5212	台內社字第8118918	台北市廈門街98號2樓及100號2樓
7	三好體育協會	社會團體	(體育運動團體)	理事長	賴維正  先生	98/03/30	27620112	0980097762	臺北市信義區松隆路327號8樓
8	上海財經大學臺灣校友會	社會團體	(同學校友會)	理事長	周志誠  先生	98/11/30	02-27955880	0980238680	11506臺北市南港區重陽路455號11樓
9	大中國道家文化發展協會	社會團體	(宗教團體)	理事長	詹光農  先生	89/05/21	02-2642-9231	8917610	桃園縣平鎮市雙連里雙榮路321巷26弄36號
10	大中華文教暨經貿促進協會	社會團體	(學術文化團體)	理事長	簡馨泓  先生	102/04/28		1020189042	330桃園縣桃園市長安街30巷12號
11	大中華史懷哲協會	社會團體	(社會服務及慈善團體)	理事長	黃聰亮  先生	98/04/29	02-23897977	0980092540	臺北市中正區衡陽路20號3樓
12	大中華洪門五聖山協會	社會團體	(其他公益團體)	理事長	王登貴  先生	99/09/04	04-23175060	0990236132	403臺中市南屯區大聖街115號2樓
13	大中華統一龍華會   (解散)	社會團體	(其他公益團體)	理事長	李永華  	89/03/07	02-2375-6650		台北市忠孝西路一段四一號四樓之一
14	大中華植樹文化交流協會	社會團體	(環保團體)	理事長	戴宗勤  先生	101/05/27	06-3581158	1010251650	704臺南市北區大興街124號
15	大中華經貿文化合作促進會	社會團體	(經濟業務團體)	理事長	梁純滿  女士	99/10/16	02-24552603	1000086059	基隆市七堵區崇智街39號5樓
16	大日功學會	社會團體	(宗教團體)	理事長	林玉珠  女士	84/08/27	037-823-132	0950130776	苗栗縣南庄鄉田美村135之1號
17	大世界太極拳聯盟	社會團體	(體育運動團體)	理事長	黃裕盛  先生	99/08/14	02-27783887	0990172949	臺北市中山區朱崙街20號608室
18	大菩提動中禪佛學會	社會團體	(宗教團體)	理事長	鄭琍云  女士	102/09/07	07-5554712	1030068495	高雄市鼓山區美明路73號
19	大道孝門實行聖會	社會團體	(社會服務及慈善團體)	理事長	吳豐邦  先生	97/03/30	02-2556-3287	0970111061	台北市南京西路222號1樓
20	山東中醫藥大學台灣校友會	社會團體	(同學校友會)	理事長	王慧國  先生	100/07/31	03-2170951	1000168599	桃園縣桃園市中山路1000號A棟16樓之2
21	山達基世界企業協會駐台辦事處	社會團體	(國際團體)	理事長	莊惠雯  	89/08/07	07-2166747	8921625號登記辦事處	高雄市前金區七賢二路329號
22	中一真道總教會	社會團體	(宗教團體)	理事長	楊吳鳳儀  女士	101/04/29	03-3583466		桃園縣桃園市大連三街23巷5號
23	中日技術合作研究會	社會團體	(國際團體)	理事長	王月鏡  	61/01/09	02-2759-9096		台北市信義路六段十一號六樓
24	中加文化經濟協會	社會團體	(國際團體)	理事長	程建人  先生	48/11/29	02-2733-6839		台北市東豐街七號二樓之三
25	中加學術暨技術合作協會   (解散)	社會團體	(國際團體)	理事長	芮正皋  	75/12/27	02-2341-1408		台北市南京東路二段一四０號七樓
26	中台灣區域發展學會	社會團體	(學術文化團體)	理事長	李明憲  	94/08/13	02-23586296	0940062472	台中市北區育德路66號
27	中正國防幹部預備學校全國校友會	社會團體	(同學校友會)	理事長	王喬譽  先生	97/05/17	02-89920218	0970112751	242新北市新莊區立信五街6號11樓
28	中印尼文化經濟協會	社會團體	(國際團體)	理事長	林聖忠  先生	60/09/07	02-2382-6753	540043號	臺北市重慶南路一段七號4樓402室
29	中印緬錫文化經濟協會   (解散)	社會團體	(國際團體)	理事長	陶士興  	53/10/04	02-2371-9898		台北市博愛路六０號六樓
30	中宏文化經貿協會	社會團體	(國際團體)	理事長	李美英  女士	86/01/09		8604259	台北市忠孝東路4段148號8樓804室
31	中法比瑞文化經濟協會	社會團體	(國際團體)	理事長	藍健民  先生	44/06/29	02-27188470		221新北市汐止區湖前街110巷97弄14-2號3樓
32	中宣社會福利發展協會	社會團體	(社會服務及慈善團體)	理事長	呂代豪  先生	100/01/21	03-4277008	1000034454	桃園縣中壢市內厝六路183號
33	中柬文經貿發展協會   (解散)	社會團體	(國際團體)	理事長	陸永清  	83/08/06	02-2741-5252		台北市仁愛路四段一０七號六樓
34	中美文化經濟協會	社會團體	(國際團體)	理事長	邱進益  先生	51/10/11	02-2341-1134		臺北市杭州南路一段23號11樓
35	中美技術合作研究會   (解散)	社會團體	(國際團體)	理事長	吳東權  	68/01/14	02-2507-5335		新竹市新竹工業園區創新一路十三號
36	中美軍事工程師協會   (解散)	社會團體	(國際團體)	理事長	施惠  	70/06/20	02-2785-4768		台北南港郵政四八八信箱
37	中美經濟合作策進會	社會團體	(國際團體)	理事長	王鍾渝  先生	66/02/26	02-2705-3102		105台灣台北市松山區八德路4段85號7樓
38	中英文化經濟協會   (解散)	社會團體	(國際團體)		  	70/01/06	02-2741-2973		台北市光復南路102號八樓(失聯)
39	中泰文化經濟協會   (解散)	社會團體	(國際團體)	理事長	林命群  先生	45/06/19	02-25467517	0970129042	台北市松山區敦化北路207號4樓14號
40	中烏文化經濟協會	社會團體	(國際團體)	理事長	丁慰慈  	87/07/15	02-2769-2686		台北市長安東路一段二五號八樓
41	中琉文化經濟協會	社會團體	(國際團體)	理事長	蔡雪泥  女士	47/03/10	02-2314-7625	161	台北市忠孝西路一段41號7樓之1
42	中琉婦女交流協會	社會團體	(國際團體)	理事長	蔡雪泥  女士	87/11/29	02-2543-2391		台北市民權西路四八號四樓
43	中紐經濟協進會	社會團體	(國際團體)	理事長	潘文炎  	73/10/12	02-2707-0111		台北市復興南路一段三九０號十三樓
44	中馬文化經濟協會   (解散)	社會團體	(國際團體)	理事長	董世芬  	52/10/14	02-2375-4456		台北市重慶南路一段七號九樓九０四室
45	中國九天玄女祖庭道教會	社會團體	(宗教團體)	理事長	朱淼炎  先生	95/02/25	04-25156237	0950025008	臺中市豐原區育德街55號
46	中國人文生命科學永續發展協會	社會團體	(學術文化團體)	理事長	盧承周(補選)  先生	96/12/22	02-27365233	0970022195	106臺北市大安區辛亥路2段165號5樓
47	中國人民大學台灣校友會	社會團體	(同學校友會)	理事長	朱甌  先生	98/09/27	02-26452201	0980190811	新北市汐止區長青路131巷31號
48	中國人民團結協會	社會團體	(社會服務及慈善團體)	理事長	陳寶元  先生	87/07/25	02-23013652	8729327	臺北市萬華區萬大路141號5樓
49	中國人事行政學會	社會團體	(學術文化團體)	理事長	伍錦霖  先生	40/02/25	02-82366731		台北市金山南路2段101巷8號2樓
50	中國人間淨土功德會   (解散)	社會團體	(宗教團體)	理事長	張益瑞  	84/12/31	02-8675-1833		台北縣樹林市大安路五三０號十樓
51	中國人權協會台灣省分會	社會團體	(學術文化團體)	理事長	林騰鷂  	74/09/21	04-23234910		台中市博館路65巷31號
52	中國人體特異功能研究會   (解散)	社會團體	(體育運動團體)	理事長	曹建生  	83/01/29	02-2703-2389	8305635	台北市興隆路三段二０七巷十六弄十四號五樓
53	中國八字命理協會   (解散)	社會團體	(學術文化團體)	理事長	林中歷  	85/05/19	02-2356-0033		台北市愛國東路三六號三樓
54	中國力餘學社   (解散)	社會團體	(社會服務及慈善團體)	理事長	許聞淵  	36/11/09	02-2511-2080	社京字第258號	台北市民生東路一段四六號
55	中國三民主義協進會	社會團體	(學術文化團體)	理事長	李彥鴻  女士	81/11/12	02-87728217	8119295	臺北市中山區八德路2段232號B1
56	中國上古秦漢學會	社會團體	(學術文化團體)	理事長	孫鐵剛  	82/06/12	02-2901-7484	8282689	新北市新莊區中正路510號輔大歷史系
57	中國口傳文學學會	社會團體	(學術文化團體)	理事長	金榮華  先生	88/05/12	02-28610511#21405	8821391	231新北市新店區如意街81號6樓
58	中國土木水利工程學會	社會團體	(學術文化團體)	理事長	呂良正  先生	63/11/17	02-2392-6325	562435	台北市仁愛路二段一號四樓
59	中國土地改革協會	社會團體	(經濟業務團體)	理事長	王進祥  先生	36/04/06	02-2562-5558	0930046780	105臺北市松山區敦化南路1段1號10樓
60	中國土地經濟學會	社會團體	(經濟業務團體)	理事長	徐世榮  先生	80/01/18	02-2515-4792		臺北市中正區中山北路1段27號8樓
61	中國大中華文化經濟促進會   (解散)	社會團體	(經濟業務團體)	理事長	張天縱  	81/05/24	02-2394-9377	台(81)內社字第8184254號	台北市金山南路二段十八號十樓
62	中國大同世界功德會	社會團體	(社會服務及慈善團體)	理事長	劉鳳美  女士	87/09/27	0921384118	8735656	700臺南市中西區西門路1段466號1樓之4
63	中國大乘仙佛宗教會	社會團體	(宗教團體)	理事長	林耿民  	79/01/14	02-2255-9095		新北市板橋區民生路三段二五五號
64	中國大乘顯密佛法學會   (解散)	社會團體	(宗教團體)	理事長	柯錦基  	89/06/25	04-2242-7969		台中市北屯區柳楊東街一三一巷十號二樓
65	中國大眾康寧互助會	社會團體	(經濟業務團體)	理事長	金紹華  先生	55/01/10	02-2633-5880	310	114臺北市內湖區成功路5段37號
66	中國大陸兩岸台商服務聯合總會	社會團體	(經濟業務團體)	理事長	趙雙全  先生	102/05/25	02-25818650	1020299381	臺北市中山區長安東路2段36巷9號7樓之3
67	中國大陸研究學會	社會團體	(學術文化團體)	理事長	楊開煌  先生	78/03/12	02-22430267	691884	新北市中和區中正路1號17樓之1
68	中國大陸旅運資訊協會   (解散)	社會團體	(經濟業務團體)	理事長	黃建台  	84/04/13	02-2712-4171		台北市南京東路四段四七之一號七樓
69	中國大陸經濟研究學會	社會團體	(學術文化團體)	理事長	高安邦  先生	100/08/09	0968-066458	1000169575	台北市松山區南京東路5段40之1號13樓之1
70	中國大悲慈善佛教會   (解散)	社會團體	(宗教團體)	理事長	陳玉燕  	90/12/02	07-2826-6653		高雄市苓雅區新光路38號23樓之3
71	中國大智慧靈氣研究會	社會團體	(學術文化團體)	理事長	黃政植  先生	83/02/20	05-275-3514	8306385	602嘉義縣番路鄉江西村6鄰崎腳20號
72	中國大道書畫學會	社會團體	(學術文化團體)	理事長	林東儀  先生	76/03/16	04-24819777	8303763	臺中市大里區大智路792號
73	中國工程師學會	社會團體	(經濟業務團體)	理事長	陳振川  先生	1/01/01	02-23925128	8734188	100臺北市中正區仁愛路2段1號3樓
74	中國工業工程學會	社會團體	(學術文化團體)	理事長	張保隆  先生	51/06/10	02-29598503	21331	220新北市板橋區中山路1段1號20樓之14
75	中國工業職業教育學會	社會團體	(學術文化團體)	理事長	林騰蛟  先生	47/02/01	02-2356-8218		台北市大安區和平東路一段一六二號
76	中國巾明獨三山國王協會	社會團體	(宗教團體)	理事長	徐榮貴  先生	85/12/25	037-667035	8676570	苗栗縣頭份鎮斗煥里大成街185號
77	中國中醫藥文化協會	社會團體	(醫療衛生團體)	理事長	黃秋陽  先生	80/06/29	2331643.2312	0881996	臺北市昆明街160巷1號8樓之3
78	中國中醫藥研究發展學會	社會團體	(醫療衛生團體)	理事長	洪啟超  	83/03/13	02-2993-8199		新北市新莊區中正路二一三號七樓
79	中國五教性向研究協會   (解散)	社會團體	(學術文化團體)	理事長	杜振發  	79/10/02	02-2753-4391		台北市南京東路五段六六巷二二弄二二號一樓
80	中國五術風水命理學會	社會團體	(學術文化團體)	理事長	劉棟義  先生	88/05/16	03-5557828	8834860	新竹縣竹北市福興路743號
81	中國五術教育協會	社會團體	(學術文化團體)	理事長	劉旭輝  先生	89/01/09	04-25667518	8964330	臺中市大雅區中山北路494巷3號
